created,updated,brand_id,oem_id,brand_name,oem_name,oem_country_of_origin,parent_company,oem_brand_awareness,oem_wiki_description,oem_vehicle_categories,region_id,region_name,region_level_guidelines,region_level_guardrails,brand_level_guidelines,brand_level_guardrails,country_name,logo_url,website
,,,,Ford,The Ford Motor Company,United States,,,,,united-states,United States,,,"Strong, purpose-driven brand centered on durability, performance, and American heritage; leadership in trucks, SUVs, and commercial vehicles with a growing focus on electrification; broad powertrain strategy spanning petrol, diesel, hybrid, and EVs; emphasis on safety, capability, and connected technology; marketing highlights “Built Ford Tough,” freedom, and real-world utility, appealing to mainstream, lifestyle, and work-oriented customers while reinforcing trust, reliability, and long-term ownership value.","Ford Co-Pilot360 standard or available across the majority of the lineup; Automatic Emergency Braking with Pedestrian Detection, Blind Spot Information System (BLIS) with Cross-Traffic Alert, Lane-Keeping System, and Rear View Camera positioned as core safety technologies; strong focus on high-strength steel and aluminum body construction engineered for durability across cars, SUVs, and trucks; broad availability of driver-assist and trailering safety technologies including Pro Trailer Backup Assist and Trailer Sway Control; consistent safety-led communication reinforcing Built Ford Tough confidence, real-world protection, and peace of mind for families, work, and adventure.",United States,,https://www.ford.com/
,,,,Chevrolet,General Motors Company,United States,,,,,united-states,United States,,,"Broadly accessible, value-driven brand with mass-market appeal; strong focus on reliability, safety, and everyday usability; wide-ranging portfolio across sedans, SUVs, trucks, and performance vehicles; balanced powertrain strategy including petrol, diesel, turbo, hybrid, and EVs; marketing emphasizes dependability, innovation, and American pride, positioning Chevrolet as a practical yet aspirational brand offering modern design, advanced infotainment, and strong ownership value.","Chevrolet Safety Assist standard or available across the majority of the lineup; Automatic Emergency Braking, Forward Collision Alert, Lane Keep Assist with Lane Departure Warning, Following Distance Indicator, and Front Pedestrian Braking positioned as core safety features; strong emphasis on high-strength steel construction and advanced airbag systems across cars, SUVs, and trucks; broad availability of trailering and teen-focused safety technologies including Teen Driver and Rear Seat Reminder; consistent safety-led communication highlighting everyday reliability, real-world protection, family confidence, and Chevrolet’s commitment to safety that works for all.",United States,,https://www.chevrolet.com/
,,,,Toyota USA,Toyota Motor Corporation,Japan,,,,,united-states,United States,,,"Trusted, high-quality vehicles engineered for real-world American needs; strong emphasis on reliability, safety, and long-term ownership value; leadership in hybrid and multi-pathway electrification alongside efficient ICE powertrains; practical, confidence-inspiring design paired with intuitive technology and advanced driver-assistance systems; mass-market appeal with particular strength in SUVs, trucks, and family vehicles; brand positioning highlights peace of mind, durability, responsible innovation, and value that endures over time.","Toyota Safety Sense standard across the majority of the lineup with continuous upgrades across generations; Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Full-Speed Range Dynamic Radar Cruise Control, and Road Sign Assist emphasized as core safety technologies; strong focus on achieving high IIHS and NHTSA safety ratings across passenger cars, SUVs, trucks, and hybrids; consistent integration of proven build quality, structural integrity, and long-term reliability; safety-led communication reinforcing trust, dependability, family protection, and Toyota’s commitment to accessible, human-centered mobility.",United States,,https://www.toyota.com/
,,,,General Motors Truck Company,General Motors Company,United States,,,,,united-states,United States,,,"Rugged, capability-driven trucks engineered for work, utility, and lifestyle use; strong emphasis on power, durability, towing, and off-road performance; broad propulsion strategy spanning gasoline, diesel, and electric trucks to meet diverse commercial and consumer needs; bold, muscular design language paired with functional interiors and advanced trailering and safety technologies; marketing rooted in American grit, craftsmanship, and real-world capability; brand positioning emphasizes strength, reliability under extreme conditions, and trucks that deliver uncompromising performance on and off the job site.","Robust active and passive safety systems standard or available across the truck and SUV portfolio; widespread integration of Chevrolet Safety Assist and GMC Pro Safety including Automatic Emergency Braking, Forward Collision Alert, Lane Keep Assist, and Following Distance Indicator; strong emphasis on high-strength steel frames and body-on-frame durability engineered for heavy-duty use; broad availability of trailering safety technologies such as Trailer Sway Control and Hitch Guidance; consistent safety-led communication highlighting strength, reliability, real-world capability, and confidence for work, family, and recreation.",United States,,https://www.gmc.com/
,,,,Hyundai Motor America,Hyundai Motor Company,South Korea,,,,,united-states,United States,,,"Premium-yet-accessible vehicles designed for modern American consumers; strong emphasis on bold design, safety, and feature-rich technology; balanced powertrain strategy including gasoline, turbo, hybrid, and electric vehicles; expressive styling paired with advanced infotainment and connected services; high-impact digital, experiential, and lifestyle-led marketing to attract urban, suburban, and aspirational buyers; brand positioning highlights innovation, emotional ownership, and exceptional value that outperforms expectations.","Advanced driver-assistance features through Hyundai SmartSense standard or available across most models; Forward Collision-Avoidance Assist, Lane Keeping Assist, Blind-Spot Collision-Avoidance, and Rear Cross-Traffic Collision-Avoidance emphasized as core safety pillars; strong focus on IIHS Top Safety Pick/Top Safety Pick+ performance and NHTSA ratings across the lineup; use of advanced high-strength steel and structural integrity engineered to global standards; consistent safety-first storytelling highlighting smart technology, real-world protection, family confidence, and Hyundai’s commitment to accessible innovation for American roads.",United States,,https://www.hyundaiusa.com/us/en
,,,,Hewlett-Packard Incorporated,Hewlett-Packard Incorporated,United States,,,,,india,India,,,,,India,,https://www.hp.com
,,,,Yamaha Motor Corporation,Yamaha Motor Corporation,Japan,,,,,india,India,,,,,India,,https://global.yamaha-motor.com
,,,,Honda Motor Corporation,Honda Motor Corporation,Japan,,,,,india,India,,,,,India,,https://www.honda.com
,,,,Royal Enfield,Royal Enfield,India,Eicher Motors Limited,,,,india,India,,,"Shift the narrative from traditional heritage to modern self-expression and urban exploration. Position the motorcycle as an accessible 'blank canvas' for rider customization. Highlight agility, everyday usability, and appeal to a younger, dynamic global demographic.","Avoid hyper-futuristic, highly digitized, or purely speed-centric/aggressive racing positioning. Do not dilute the vintage aesthetic with overly modern or plastic-heavy styling. Ensure the narrative does not stray from accessible, rugged, and grounded riding experiences into overly complex, tech-dominated territory.",India,,https://www.royalenfield.com/in/en/home/
,,,,Volkswagen,Volkswagen AG,"Wolfsburg, Lower Saxony, Germany",,,,,india,India,,,"Engineering-led positioning celebrating precision, durability, and the Das Auto identity across all communications; broad demographic appeal spanning first-time car buyers through established family and professional segments; leading EV narrative through the ID. series with clear transition messaging from ICE to battery electric; brand communications balance aspiration and accessibility without crossing into luxury segment territory occupied by Audi and Porsche within the Group.","Avoid positioning that conflicts with or cannibalizes Volkswagen Group premium sub-brands including Audi, Porsche, and Lamborghini. Do not make unverified emissions or electric range claims without WLTP certification. All comparative advertising must comply with UWG and EU Consumer Protection Directive requirements. Ensure sustainability messaging is substantiated and avoids greenwashing under EU Green Claims Directive standards.",India,,https://www.volkswagen-group.com/
,,,,Mercedes-Benz,Mercedes-Benz Group AG,Germany,,,,,india,India,,,"Luxury-first positioning anchored in engineering excellence, timeless design, and the prestige ownership experience across all vehicle categories and customer touchpoints; The Best or Nothing philosophy as the consistent global brand promise; integrated EQ electric sub-brand narrative woven into the broader Mercedes luxury story without diluting prestige; aspirational lifestyle marketing targeting high-net-worth individuals while maintaining aspirational halo appeal for premium-segment considerers.","Maintain clear brand hierarchy and voice separation between Mercedes-Benz, AMG performance, and Maybach ultra-luxury sub-brands. Do not dilute the luxury positioning with volume-market, value-led, or mass-appeal language. All performance and efficiency claims must be verified and comply with EU advertising standards and WLTP protocols. Avoid messaging that conflicts with Mercedes-Benz Group AG published sustainability and carbon neutrality commitments.",India,,https://www.mercedes-benz.com/en/
,,,,MG,MG Motor (Morris Garages),"Shanghai, China",,,,,india,India,,,Heritage-meets-modern positioning rooted in British motoring identity refreshed for a new generation of EV-ready drivers; strong emphasis on accessible electric mobility with value-for-money pricing that challenges the cost barrier of going electric; bold contemporary design language bridging classic MG character with practical everyday functionality; marketing narrative centers on democratizing electric driving for mainstream UK car buyers without sacrificing style or feature richness.,"Do not undermine MG's British heritage credentials with overtly Chinese-origin brand messaging. Avoid premium or luxury positioning claims that contradict the accessible, value-led brand promise. All electric range and efficiency claims must reference WLTP-certified test data. Do not use comparative advertising against established British or European premium marques without substantiation.",India,,https://www.mg.co.uk
,,,,Nissan,Nissan Motor,Japan,"Nissan Motor Co., Ltd.","High brand recognition globally as a Japanese automotive pioneer with strong presence across Asia, North America, and Europe, known for reliable mass-market vehicles, the Magnite compact SUV in India, the Leaf EV globally, and the GT-R performance icon, operating under the Renault-Nissan-Mitsubishi Alliance.","Nissan Motor Co., Ltd. is a Japanese multinational automobile manufacturer headquartered in Yokohama, Japan, founded in 1933, and one of the world's largest automakers by volume, selling vehicles across more than 170 countries under the Nissan and Infiniti brands, forming a core part of the Renault-Nissan-Mitsubishi Alliance, and known globally for its range of passenger cars, SUVs, electric vehicles, and performance vehicles including the GT-R and the Leaf EV","Passenger vehicles, Commercial Vehicles",india,India,,,"Japanese engineering precision meets accessible value; emphasis on reliability, safety-first positioning, and long-term ownership confidence; bold and expressive SUV-led design language anchored by the V-Motion grille identity; strong export credentials reinforcing global quality standards (Magnite exported to 65+ countries); value-for-money proposition across segments without compromising on safety or technology; growing product offensive with multiple new launches planned through 2027; digital-first engagement with younger urban buyers; Nissan Connect ecosystem for connected ownership experience; tone is confident, aspirational, and trustworthy rather than aggressive or price-led","6 airbags standard across all Nissan India models; ABS with EBD, Electronic Stability Control, and rear parking sensors mandatory across lineup; ISOFIX child seat anchors on all models; Hill Start Assist on applicable variants; no safety feature to be traded off against cost at any variant level; 5-star Global NCAP and Euro NCAP ratings to be highlighted as primary safety credentials wherever applicable; consistent messaging around Japanese engineering reliability and long-term ownership confidence; avoid aggressive performance-only or mileage-only claims; warranty and after-sales assurance (10-year extended warranty on Magnite, extended warranty on Gravite) to be positioned as ownership confidence pillars",India,,https://www.nissan.in/
