created,updated,vehicle_model_id,brand_id,region_id,region_name,country_name,oem_name,brand_name,vehicle_model_name,vehicle_model_aliases,vehicle_description,vehicle_image,vehicle_video,vehicle_category,vehicle_type,vehicle_type_aliases,engine_types,transmission_types,transmission_types_aliases,year_launched,feature_summary,competitor_vehicles,region_level_guidelines,region_level_guardrails,brand_logo_url,brand_website,parent_company,brand_level_guidelines,brand_level_guardrails,oem_id,oem_brand_awareness,oem_country_of_origin,oem_wiki_description
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Baleno,"baleno,new baleno, maruti suzuki baleno, maruti baleno","Baleno is a premium, urban hatchback that blends a bold, fluid design with a refined, spacious cabin and smooth, efficient performance, making everyday city and highway drives feel smart, comfortable and modern.",,,Passenger vehicles,Hatchback,"Premium Hatch, Premium hatchback, small car, city car, compact car, Entry-level car","Petrol, CNG","Manual, Automatic","MT, AT",2015,"The Maruti Suzuki Baleno is a premium hatchback focusing on comfort, refinement, and modern technology. Powered by a 1.2L petrol engine, it offers a spacious cabin, advanced infotainment features, and a smooth ride, positioning it as a strong urban and highway performer.","Hyundai i20, Toyota Glanza, Honda Jazz",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Ciaz,"Ciaz, maruti ciaz, maruti suzuki ciaz","Ciaz is an elegant, mid-size sedan that combines a long, sophisticated profile with a roomy, plush interior and relaxed, fuel-efficient performance, ideal for comfortable commutes and chauffeur-driven journeys alike.",,,Passenger vehicles,Sedan,"Sedan, Mid-size sedan, Compact sedan, Premoium Sedan","Petrol, CNG","Manual, Automatic","MT, AT",2014,"The Maruti Suzuki Ciaz is a mid-size sedan designed for comfort, space, and fuel efficiency. It is powered by a 1.5L petrol mild-hybrid engine and offers a refined ride, spacious rear seating, and premium interior elements suited for long-distance travel.","Honda City, Toyota Yaris, Skoda Slavia",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Fronx,"Fronx, fronx suv, maruti fronx, maruti suzuki fronx, nexa fronx","Fronx is a stylish, coupe-inspired urban SUV that mixes bold, high-riding design with hatchback-like agility and everyday practicality, giving young city buyers a confident, distinctive driving experience.",,,Passenger vehicles,Hatchback,"Sport Utility Vehicle, SUV, Compact SUV, Crossover, SUV-coupe, Urban SUV","Petrol, CNG","Manual, Automatic","MT, AMT, AT",2023,"The Maruti Suzuki Fronx is a compact crossover featuring sporty coupe-inspired styling. It is offered with 1.2L naturally aspirated petrol and 1.0L turbo petrol engines. The Fronx focuses on youthful design, efficiency, and a comfortable urban driving experience.","Hyundai Venue, Tata Nexon, Kia Sonet",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Grand Vitara,"Grand Vitara, new grand vitara, maruti grand vitara, maruti suzuki grand vitara, nexa grand vitara","Grand Vitara is a modern, tech-rich SUV that offers strong-hybrid efficiency, all-wheel-drive confidence and a premium, feature-loaded cabin, suited for families who want both city sophistication and adventure-ready capability.",,,Passenger vehicles,SUV,"Sport Utility Vehicle, SUV, Compact SUV, Mid-size SUV, Hybrid SUV","Petrol, CNG","Manual, Automatic","MT, AT",2022,"The Maruti Suzuki Grand Vitara is a mid-size SUV offering mild-hybrid and strong-hybrid powertrain options. It focuses on fuel efficiency, comfort, and technology, with available AWD capability, making it suitable for both urban and mild off-road usage.","Toyota Urban Cruiser Hyryder, Hyundai Tucson, Kia Seltos",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Ignis,"Ignis, ignus, maruti ignis, maruti suzuki ignis, nexa ignis","Ignis is a quirky, compact urban hatchback with SUV-like stance and youthful styling, pairing easy manoeuvrability and efficiency with a fun character for crowded city streets and tight parking spaces.",,,Passenger vehicles,Hatchback,"Small car, City car, Compact car, Entry-level car, Compact crossover","Petrol, CNG","Manual, Automatic","MT, AMT",2017,"The Maruti Suzuki Ignis is a compact urban hatchback with a distinctive design and high seating position. Powered by a 1.2L petrol engine, it emphasizes ease of driving, compact dimensions, and practicality for city environments.","Tata Punch, Hyundai Casper, Nissan Magnite",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Invicto,"Invicto, maruti invicto, maruti suzuki invicto, nexa invicto","Invicto is a premium, three-row MUV that fuses upmarket styling and a plush, spacious cabin with refined hybrid performance, tailored for families seeking comfortable, effortless long-distance travel with a touch of luxury.",,,Passenger vehicles,SUV,"MUV, MPV, Premium MPV, 3-row MPV, Premium People mover","Petrol, CNG","Manual, Automatic","AT (e-CVT / automatic only, strong-hybrid based on Innova Hycross",2023,"The Maruti Suzuki Invicto is a premium MPV based on the Toyota Innova Hycross platform. It offers a strong-hybrid powertrain, luxurious interiors, advanced safety features, and spacious 7- or 8-seat configurations focused on premium family travel.","Toyota Innova Hycross, Kia Carnival, Mahindra Marazzo",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Jimny,"Jimny, jiminee, maruti jimny, maruti suzuki jimny, nexa jimny","Jimny is a compact, ladder-frame off-roader with a boxy, iconic design and serious 4x4 hardware, built for enthusiasts who want a go-anywhere, fun-to-drive SUV that feels equally at home on trails and in the city.",,,Passenger vehicles,SUV,"Sport Utility Vehicle, SUV, Compact SUV, Off-roader, 4x4 SUV, Lifestyle SUV, Mini SUV","Petrol, CNG","Manual, Automatic","MT, AT",2023,"The Maruti Suzuki Jimny is a lifestyle off-road SUV built on a ladder-frame chassis. Powered by a 1.5L petrol engine with AllGrip Pro 4x4, it emphasizes rugged capability, compact dimensions, and strong off-road performance.","Mahindra Thar, Force Gurkha, Suzuki Samurai",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,XL6,"XL6, xl 6, maruti xl6, maruti suzuki xl6, nexa xl6","XL6 is an upscale, three-row crossover MUV that offers captain seats, a premium, relaxing interior and refined performance, making it a stylish and comfortable choice for families who want more exclusivity than a regular people-mover.",,,Passenger vehicles,SUV,"MUV, MPV, 3-row MPV, Crossover MPV, people mover","Petrol, CNG","Manual, Automatic","MT, AT",2019,"The Maruti Suzuki XL6 is a premium 6-seater MPV offering captain seats and enhanced interior comfort. It is powered by a 1.5L petrol mild-hybrid engine and focuses on style, comfort, and family-oriented usability.","Renault Triber, Toyota Innova Crysta, Mahindra Marazzo",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Tiago,"Tata Tiago, tiago","The Tata Tiago is a compact and versatile hatchback designed for effortless city driving, offering a comfortable cabin, efficient performance, and a strong emphasis on safety. It is a practical choice for everyday urban mobility with modern styling and dependable reliability.",,,Passenger vehicles,Hatchback,"Hatch, hatchback, small car, city car, compact car, Entry-level car","Petrol, CNG","Manual, Automatic","MT, AMT",2016,"The Tata Tiago is an entry-level hatchback known for its strong build quality and safety focus. Powered by a 1.2L petrol engine, it offers a comfortable ride, solid handling, and practical interior features suitable for daily use.","Maruti Suzuki Celerio, Hyundai Santro, Renault Kwid",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Tigor,"Tata Tigor, tigor, tigor sedan","The Tata Tigor is a stylish and practical compact sedan offering a comfortable cabin, smooth drive, and a strong focus on safety. Designed for both city and highway use, it delivers a balanced mix of comfort, efficiency, and everyday reliability.",,,Passenger vehicles,Sedan,"Sedan, compact sedan, small sedan, entry sedan, family sedan","Petrol, CNG","Manual, Automatic","MT, AMT",2017,"The Tata Tigor is a compact sedan emphasizing safety, comfort, and practicality. It is powered by a 1.2L petrol engine and offers a spacious cabin, refined ride quality, and strong safety credentials.","Hyundai Aura, Maruti Suzuki Dzire, Honda Amaze",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Altroz,"New Altroz, Tata Altroz, Altroz Hatchback","The Tata Altroz is a premium hatchback that offers a refined driving experience with a spacious cabin, balanced ride quality, and a strong emphasis on safety. Designed for modern urban and highway use, it delivers a blend of comfort, efficiency, and contemporary styling for everyday practicality.",,,Passenger vehicles,Hatchback,"Hatch, hatchback, small car, city car, compact car, Entry-level car","Petrol, Diesel, CNG","Manual, Automatic","MT, DCT",2020,"The Tata Altroz is a premium hatchback built on the ALFA platform, offering excellent safety and ride quality. It is available with turbo petrol and diesel engine options and focuses on premium interiors, comfort, and stability.","Hyundai i20, Maruti Suzuki Baleno, Volkswagen Polo",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Punch,"Punch, Tata Punch, Punch Micro SUV","The Tata Punch is a bold and compact SUV designed for urban adventures, offering a high seating position, robust build quality, and a strong focus on safety. With its practical cabin, easy drivability, and confident road presence, it is well suited for city use while handling rough roads with ease.",,,Passenger vehicles,SUV,"micro SUV, urban SUV","Petrol, CNG","Manual, Automatic","MT, AMT",2021,"The Tata Punch is a micro-SUV with high ground clearance and a 5-star Global NCAP safety rating. Powered by a 1.2L petrol engine, it emphasizes rugged styling, safety, and urban versatility.","Renault Kiger, Nissan Magnite, Hyundai Casper",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Punch.ev,"Punch EV, Tata Punch EV, Tata Punch Electric, Punch Electric SUV","The Tata Punch.ev is a compact and capable electric vehicle designed for urban mobility, offering a high seating position, smooth electric performance, and a strong focus on safety. With its practical range, modern features, and zero-emission driving, it is well suited for everyday city use with added confidence and convenience.",,,Passenger vehicles,Electric Vehicle,"Electric Vehicle, EV, electric car",Electric,Automatic,Single-speed automatic,2024,"The Tata Punch.ev is a compact electric SUV offering modern design, multiple battery options, and practical urban range. It focuses on zero-emission mobility, advanced features, and everyday usability.","MG Comet EV, Citroen e-C3, Renault Kiger EV",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Nexon,"New Nexon, Tata Nexon, Nexon SUV","The Tata Nexon is a stylish and versatile SUV that offers a comfortable cabin, confident road presence, and a strong focus on safety. Designed for both city driving and long journeys, it delivers a balanced combination of performance, comfort, and everyday practicality.",,,Passenger vehicles,SUV,"SUV, compact SUV, urban SUV","Petrol, Diesel","Manual, Automatic","MT, AMT, DCT",2017,,"Hyundai Venue, Kia Sonet, Maruti Suzuki Fronx",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Nexon.ev,"Nexon EV, Tata Nexon EV, Nexon Electric","The Tata Nexon.ev is a modern electric vehicle that offers a spacious cabin, smooth and responsive performance, and a strong focus on safety. Designed for both city use and longer drives, it delivers a practical electric range, advanced features, and a comfortable zero-emission driving experience.",,,Passenger vehicles,Electric Vehicle,"Electric Vehicle, EV, electric car",Electric,Automatic,Single-speed automatic,2020,,"MG ZS EV, Hyundai Kona EV, Mahindra XUV400 EV",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Harrier,"Harrier, Tata Harrier, Harrier SUV,","The Tata Harrier is a bold and premium SUV designed for comfort, performance, and long-distance travel. With its spacious cabin, strong road presence, and emphasis on safety, it is well suited for both city driving and highway journeys, offering a refined and confident driving experience.",,,Passenger vehicles,SUV,"SUV, premium SUV, mid-size SUV",Diesel,"Manual, Automatic","MT, AT",2019,,"MG Hector, Hyundai Creta , Jeep Compass",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Safari,"Safari, Tata Safari, Safari SUV,","The Tata Safari is a spacious and premium SUV built for comfort, safety, and long journeys. With its three-row seating, strong road presence, and refined driving experience, it is well suited for families and highway travel while delivering confidence, practicality, and modern features.",,,Passenger vehicles,SUV,"SUV, full-size SUV, family SUV",Diesel,"Manual, Automatic","MT, AT",2021,,"MG Hector Plus, Mahindra XUV700, Hyundai Alcazar",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Tiago.ev,"Tiago EV, Tata Tiago EV, Tiago Electric, Tata Tiago Electric","The Tata Tiago.ev is a compact and practical electric vehicle designed for easy urban mobility, offering smooth electric performance, a comfortable cabin, and a strong focus on safety. With its zero-emission driving and everyday usability, it is well suited for city commutes and efficient daily travel.",,,Passenger vehicles,Electric Vehicle,"Electric Vehicle, EV, electric car",Electric,Automatic,Single-speed automatic,2022,,"Mahindra eKUV100, CitroÃ«n e-C3 EV",,,,,,,,,,,
,,,,,India,India,Tata Motors Limited,Tata Motors,Tata Tigor.ev,"Tigor EV, Tata Tigor EV, Tigor Electric","The Tata Tigor EV is a refined electric sedan designed for comfortable city commuting and efficient daily travel. It offers smooth electric performance, a spacious cabin, and a strong focus on safety, making it a practical zero-emission choice for urban mobility.",,,Passenger vehicles,Electric Vehicle,"Electric Vehicle, EV, electric car",Electric,Automatic,Single-speed automatic,2021,,Renault Kwid EV,,,,,,,,,,,
,,,,,India,India,BYD Company Limited,BYD,Atto 3,"BYD Atto3, Atto-3, BYD SUV, BYD Electric SUV","Atto 3 is a modern, premium electric SUV that combines bold design, a futuristic cabin, and strong electric performance, offering a refined and confident driving experience for urban and highway use.",,,Passenger vehicles,SUV,"Sport Utility Vehicle, SUV, Electric SUV, Compact SUV",Electric,Automatic,Single-speed,2022,,"MG ZS EV, Tata Nexon.ev, Hyundai Kona EV",,,,,,,,,,,
,,,,,India,India,BYD Company Limited,BYD,Seal,"BYD Seal, Seal EV, BYD Electric Sedan","BYD Seal is a performance-oriented electric sedan with a sleek aerodynamic design, powerful acceleration, and a premium, tech-rich interior, crafted for drivers seeking sporty refinement in an electric form.",,,Passenger vehicles,Sedan,"Electric Sedan, Saloon, Performance Sedan",Electric,Automatic,Single-speed,2024,,"Tesla Model 3, BMW i4, Polestar 2",,,,,,,,,,,
,,,,,India,India,BYD Company Limited,BYD,Sealion 7,"BYD Sealion7, Sealion-7, BYD Electric Coupe SUV","Sealion 7 is a sporty electric coupe-SUV that blends aggressive styling, long-range capability, and high-performance dynamics with a luxurious and futuristic cabin experience.",,,Passenger vehicles,SUV,"Coupe SUV, Electric SUV, Performance SUV",Electric,Automatic,Single-speed,2024,,"Tesla Model Y, Rivian R1S",,,,,,,,,,,
,,,,,India,India,BYD Company Limited,BYD,e6,"BYD e6, e6 MPV, BYD Electric MPV","BYD e6 is a spacious and practical electric MPV designed primarily for fleet and commercial use, offering high reliability, long range, and a comfort-focused cabin.",,,Passenger vehicles,MUV,"MPV, Electric MPV, Fleet Vehicle",Electric,Automatic,Single-speed,2021,,"Nissan e-NV200, BYD T3 EV",,,,,,,,,,,
,,,,,India,India,BYD Company Limited,BYD,eMAX 7,"BYD eMAX7, eMAX-7, BYD Electric MPV","eMAX 7 is a premium electric MPV that elevates family and fleet mobility with enhanced range, refined interiors, and modern design, positioned as the next evolution of BYDâ€™s MPV offering in India.",,,Passenger vehicles,MUV,"MPV, Electric MPV, Family Van",Electric,Automatic,Single-speed,2024,,"Toyota HiAce EV, Mercedes eVito",,,,,,,,,,,
,,,,,India,India,Kia Corporation,Kia,Seltos,"KIA Seltos, Seltos SUV, Kia Compact SUV","Seltos is a bold and feature-rich compact SUV that blends sharp design, advanced technology, and a comfortable cabin, making it one of the most versatile and popular choices in its segment.",,,Passenger vehicles,SUV,"Sport Utility Vehicle, SUV, Compact SUV","Petrol, Diesel","Manual, Automatic","MT, IVT, AT, DCT",2019,,"Hyundai Creta, MG Hector, Toyota Hyryder",,,,,,,,,,,
,,,,,India,India,Kia Corporation,Kia,Sonet,"Kia Sonet, Sonet SUV, Kia Compact SUV","Sonet is a stylish and youthful compact SUV that offers a premium interior, smart connectivity, and efficient performance, tailored for confident urban mobility.",,,Passenger vehicles,SUV,"Sport Utility Vehicle, SUV, Sub-compact SUV","Petrol, Diesel","Manual, Automatic","MT, IMT, AT, DCT",2020,,"Hyundai Venue, Tata Nexon, Maruti Suzuki Fronx",,,,,,,,,,,
,,,,,India,India,Kia Corporation,Kia,Carens,"Kia Carens, Carens MPV, Kia 7 Seater","Carens is a spacious and family-focused MPV that combines SUV-inspired styling with flexible seating, refined ride comfort, and modern safety features for long journeys.",,,Passenger vehicles,MUV,"MPV, Family Car, 7 Seater","Petrol, Diesel","Manual, Automatic","MT, IMT, AT, DCT",2022,,"Toyota Innova Crysta, Maruti Ertiga, Honda BR-V",,,,,,,,,,,
,,,,,India,India,Kia Corporation,Kia,Carnival,"Kia Carnival, Grand Carnival, Kia MPV","Carnival is a premium large MPV that delivers lounge-like comfort, expansive space, and refined road manners, designed for customers who prioritise luxury and practicality.",,,Passenger vehicles,MUV,"MPV, Luxury MPV",Diesel,Automatic,AT,2020,,"Toyota Vellfire, Mercedes V-Class, Hyundai Staria",,,,,,,,,,,
,,,,,India,India,Kia Corporation,Kia,EV6,"Kia EV6, EV6 GT-Line, Kia Electric SUV","EV6 is a high-performance electric crossover that combines futuristic design, rapid acceleration, and cutting-edge technology, setting a new benchmark for premium electric mobility.",,,Passenger vehicles,SUV,"Electric SUV, Crossover, Performance SUV",Electric,Automatic,Single-speed,2022,,"Tesla Model 3, Polestar 2, Hyundai Ioniq 5",,,,,,,,,,,
,,,,,India,India,Kia Corporation,Kia,EV9,"Kia EV9, EV9 Electric SUV, Kia Flagship EV","EV9 is a flagship electric SUV that brings bold design, advanced autonomous-ready technology, and three-row luxury comfort, showcasing Kiaâ€™s future-forward electric vision.",,,Passenger vehicles,SUV,"Electric SUV, Full-size SUV",Electric,Automatic,Single-speed,2024,,"Ford Mustang Mach-E, Tesla Model Y/X, Volkswagen ID.4",,,,,,,,,,,
,,,,,India,India,Kia Corporation,Kia,Stinger,"Kia Stinger, Stinger GT, Kia Sports Sedan","Stinger is a performance-oriented sports sedan that blends powerful turbocharged performance with a low-slung, dynamic design, appealing to driving enthusiasts.",,,Passenger vehicles,Sedan,"Sports Sedan, Performance Sedan",Petrol,Automatic,AT,2018,,"BMW 3 Series, Audi A5 Sportback, Alfa Romeo Giulia, Genesis G70, Infiniti Q50, Jaguar XF, Honda Accord 2.0T, Buick Regal GS",,,,,,,,,,,
