created,updated,dealership_id,region_id,region_name,dealer_name,supported_brands,workshop_name,workshop_type,contact_number,email,address,city,state,pincode,geolocation,days_open,operating_hours,workshop_full_name,total_service_bays,total_technicians,daily_service_capacity,services_offered,facilities_available,manager_name,manager_contact,workshop_status,display_vehicle_count,google_reviews_rating,google_reviews,google_my_business_listing,workshop_reviews,workshop_photos,workshop_rating,region_level_guidelines,region_level_guardrails,supported_brands_guidelines,region_subdivision_id,subdivision_name,languages,subdivision_level_guidelines,subdivision_level_guardrails,workshop_level_guidelines,workshop_level_guardrails,workshop_id
,,,,India,Landmark Jeep,Jeep,Landmark Jeep - Workshop,Main Workshop,9510995000,gmsales.wd@landmarkjeep.in,Landmark Jeep - Workshop,Gurugram,Haryana,122001,"28.433002, 77.0081366","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Legend Jeep,Jeep,Legend Jeep - Workshop,Main Workshop,7311191156,kirti.singh@legend-fca.com,Legend Jeep - Workshop,Lucknow,Uttar Pradesh,226001,"26.874364, 80.995269","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Lotus Jeep,Jeep,Lotus Jeep,Main Workshop,9133391818,servicetpt.jeep@lotusgroup.ltd,Lotus Jeep,Tirupati,Andhra Pradesh,517501,"13.6370938, 79.413524","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 20:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,LSC Jeep,Jeep,LSC Jeep - Workshop,Main Workshop,8395874819,gmservice@lsc-fca.com,LSC Jeep - Workshop,Dehradun,Uttarakhand,248002,"30.270575, 77.986442","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,MAGNUS JEEP,Jeep,MAGNUS JEEP,Main Workshop,9733707070,saleshead@magnusmotors.co.in,MAGNUS JEEP,Ahmedabad,Gujarat,380060,"23.078950,72.515230","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Mahesh Jeep,Jeep,Mahesh Jeep - Workshop,Main Workshop,8471922555,service@mahesh-fca.com,Mahesh Jeep - Workshop,Guwahati,Assam,781028,"26.1114596, 91.7696094","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Moharir Jeep,Jeep,Moharir Jeep - Workshop,Main Workshop,8446002557,moharirjeepservices@yahoo.com,Moharir Jeep - Workshop,Nashik,Maharashtra,422007,"20.0049957, 73.7386824","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Nanavati Eurocars Pvt Ltd,Jeep,Nanavati Eurocars Pvt Ltd,Main Workshop,7567563550,sales@nanavati-fca.com,Nanavati Eurocars Pvt Ltd,Surat,Gujarat,394270,"21.171195, 72.738235","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Orange Jeep,Jeep,Orange Jeep - Workshop,Main Workshop,8886642042,crm.vizag@orangeauto.in,Orange Jeep - Workshop,Visakhapatnam,Andhra Pradesh,530007,"17.7420801, 83.2423318","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Pinnacle Jeep,Jeep,Pinnacle Jeep - Workshop,Main Workshop,7559997766,info@pinnaclejeep.com,Pinnacle Jeep - Workshop,Cochin,Kerala,682030,"10.075625, 76.336204","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Pratap Jeep,Jeep,Pratap Jeep - Workshop,Main Workshop,9251640877,wm@pratap-fca.com,Pratap Jeep - Workshop,Jaipur,Rajasthan,302022,"26.870619, 75.848077","Wednesday, Thursday, Friday, Saturday, Sunday, Monday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Pride Jeep,Jeep,Pride Jeep - Workshop,Main Workshop,7995655505,service@pridefca.com,Pride Jeep - Workshop,Hyderabad,Telangana,500035,"17.50936, 78.362298","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Pride Jeep,Jeep,Pride Jeep - Workshop,Main Workshop,8185900900,service@pridefca.com,Pride Jeep - Workshop,Hyderabad,Telangana,500049,"17.50936, 78.362298","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Pride Jeep,Jeep,Pride Jeep - Workshop,Main Workshop,8185900900,service@pridefca.com,Pride Jeep - Workshop,Warangal,Telangana,506001,"17.98386, 79.575836","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Rajarshi Jeep,Jeep,Rajarshi Jeep - Workshop,Main Workshop,9228098000,crmservice@pride-fca.com,Rajarshi Jeep - Workshop,Rajkot,Gujarat,360004,"22.22671, 70.80183","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,RN CAR CAFE PVT LTD,Jeep,RN CAR CAFE PVT LTD,Main Workshop,7217090408,servicemgr.meerut@citroen-rncars.com,RN CAR CAFE PVT LTD,Meerut,Uttar Pradesh,250103,"28.91675439, 77.64698407","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Royal Jeep,Jeep,Royal Jeep,Main Workshop,7880171607,GMSERVICE@ROYALJEEP.IN,Royal Jeep,Gwalior,Madhya Pradesh,474001,"26.1624492, 78.1609529","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Sahil Jeep,Jeep,Sahil Jeep - Workshop,Main Workshop,7082696060,service@sahil-fca.com,Sahil Jeep - Workshop,Karnal,Haryana,132001,"29.644962, 76.982502","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Sahil Jeep,Jeep,Sahil Jeep - Workshop,Main Workshop,8222857565,service@sahil-fca.com,Sahil Jeep - Workshop,Sonipat,Haryana,131001,"28.974853, 77.018198","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Satguru Jeep,Jeep,Satguru Jeep - Workshop,Main Workshop,9109155113,crm.service@satguru-fca.com,Satguru Jeep - Workshop,Indore,Madhya Pradesh,452010,"22.785747, 75.905692","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,SGA Premium Cars India Pvt. Ltd,Jeep,SGA Premium Cars India Pvt. Ltd,Main Workshop,8608144055,crm-service@sgajeep.in,SGA Premium Cars India Pvt. Ltd,Coimbatore,Tamil Nadu,641004,"11.02763, 77.01415","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Shree Sai Jeep,Jeep,Shree Sai Jeep,Main Workshop,9425301180,crm.service@jeep-shreesai.in,Shree Sai Jeep,Jabalpur,Madhya Pradesh,482004,"23.228772, 79.903528","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Sky Moto Jeep,Jeep,Sky Moto Jeep - Workshop,Main Workshop,8380044495,"crmjeep@skymoto-fca.com, gmservice@skymoto-fca.com",Sky Moto Jeep - Workshop,Pune,Maharashtra,411035,"18.6494726, 73.7822349","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Somaha Autos Pvt Ltd,Jeep,Somaha Autos Pvt Ltd,Main Workshop,9877790531,gmsales@jeep-somahaautos.in,Somaha Autos Pvt Ltd,Ludhiana,Punjab,141014,"30.872832, 75.909772","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,TANISHQ JEEP,Jeep,TANISHQ JEEP,Main Workshop,8669209091,,TANISHQ JEEP,Chhatrapati Sambhaji Nagar (Aurangabad),Maharashtra,431006,"19.8748277, 75.3790235","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Tapan Jeep,Jeep,Tapan Jeep,Main Workshop,8352000572,servicemandi@tapanjeep.in,Tapan Jeep,Mandi,Himachal Pradesh,175021,"31.653223, 76.945842","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Tapan Jeep,Jeep,Tapan Jeep - Workshop,Main Workshop,8352000572,fcaservicecrmsolan@tapan.industries.com,Tapan Jeep - Workshop,Solan,Himachal Pradesh,173211,"30.887766, 77.088063","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,True Sai Jeep,Jeep,True Sai Jeep - Workshop,Main Workshop,9003477744,servicemanager@truesaimotorss.com,True Sai Jeep - Workshop,Salem,Tamil Nadu,636007,"11.669943, 78.162055","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Turbo Jeep,Jeep,Turbo Jeep - Workshop,Main Workshop,9298605555,servicemanager-vja@turbofca.com,Turbo Jeep - Workshop,Vijayawada,Andhra Pradesh,521108,"16.514857, 80.704879","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Utsav Cars Pvt Ltd,Jeep,Utsav Cars Pvt Ltd - Workshop,Main Workshop,2912959877,servicemanager@utsav-jeep.com,Utsav Cars Pvt Ltd - Workshop,Jodhpur,Rajasthan,342003,"26.2617266, 72.9973482","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,VAA AUTO GARAGES PRIVATE LIMITED,Jeep,VAA AUTO GARAGES PRIVATE LIMITED,Main Workshop,9541918382,service.manager@vaaauto-fca.com,VAA AUTO GARAGES PRIVATE LIMITED,Jammu,Jammu & Kashmir,180011,"32.6689502, 74.8751435","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,VTK Jeep,Jeep,VTK Jeep - Workshop,Main Workshop,9384005530,crhead@vtk-fca.com,VTK Jeep - Workshop,Chennai,Tamil Nadu,600056,"13.042744, 80.119155","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,VTK Jeep,Jeep,VTK Jeep - Workshop,Main Workshop,9384005543,vijayan@vtk-fca.com,VTK Jeep - Workshop,Chennai,Tamil Nadu,600119,"12.906055, 80.228011","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,WSL Jeep,Jeep,WSL Jeep - Workshop,Main Workshop,7574041111,servicemanager@wslauto.in,WSL Jeep - Workshop,Chandigarh,Chandigarh,160002,"30.708428, 76.803162","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,WSL Jeep,Jeep,WSL Jeep - Workshop,Main Workshop,8437005555,servicemanager@wslauto.in,WSL Jeep - Workshop,Mohali,Punjab,160055,"30.717142, 76.701932","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 19:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
