created,updated,dealer_name,website,credits_balance,pan_number,pan_card_link,gstin,gst_certificate,certificate_of_incorporation,dealership_legal_name,aliases,languages,dealership_type,supported_brands,supported_brand_names,supported_brands_guidelines,vehicle_category,channels,dealership_guidelines,dealership_guardrails,dealership_description,dealer_group_id,dealer_group_name,dealer_group_guidelines,dealer_group_description,region_id,region_name,region_level_guidelines,region_level_guardrails,showroom_center_count,workshop_center_count,buyback_center_count,linkedin_url,year_established,billing_address,billing_contact_name,billing_contact_email,billing_contact_phone,primary_contact_name,primary_contact_role,primary_contact_email,primary_contact_phone,secondary_contact_name,secondary_contact_role,secondary_contact_email,secondary_contact_phone,dealer_status,logo_url,dealership_id
,,Car Planet Jeep,https://carplanet.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Celica Jeep,https://celicajeep.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Concept Jeep,https://concept.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,CROSSROAD MOTOCOP PVT. LTD. JEEP,http://crossroad.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Deedi Jeep,https://deedi.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,EVM JEEP,https://evm.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,HARMEET NEXTGEN PRIVATE LIMITED,https://harmeet.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Jaika Jeep,https://jaika.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Jayaraj Jeep,https://jayaraj.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,K P Jeep,https://kpautomobiles.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Kalyan Jeep,https://kalyanauto.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Karan Ashok Jeep,https://kamotors.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,KHT Prime Jeep,https://khtprime.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Krishna Jeep,https://krishnaautolink.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,KVR Jeep,https://kvr.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Landmark Jeep,https://landmark.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Legend Jeep,https://legendcars.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Lotus Jeep,,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,LSC Jeep,https://lscautowheels.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,MAGNUS JEEP,www.magnusjeep.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Mahesh Jeep,https://maheshmotors.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Moharir Jeep,https://moharir.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Nanavati Eurocars Pvt Ltd,https://nanavati.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Orange Jeep,https://orangeauto.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Pinnacle Jeep,https://pinnacle.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Pratap Jeep,https://pratap.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Pride Jeep,https://pridemotors.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Rajarshi Jeep,https://rajarshi.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,RN CAR CAFE PVT LTD,,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Royal Jeep,,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Sahil Jeep,https://sahilautomobile.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Satguru Jeep,https://satguru.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,SGA Premium Cars India Pvt. Ltd,https://sga.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Shree Sai Jeep,https://sreesai.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Sky Moto Jeep,https://https://skymoto.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Somaha Autos Pvt Ltd,https://somaha.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,TANISHQ JEEP,Tanishq.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Tapan Jeep,https://tapanindustries.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,True Sai Jeep,https://truesai.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Turbo Jeep,https://turbo.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Utsav Cars Pvt Ltd,https://utsav-jeep.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,VAA AUTO GARAGES PRIVATE LIMITED,https://vaa.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,VTK Jeep,https://vtk.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,WSL Jeep,https://wslautomobiles.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
