created,updated,feature_sub_category,feature_name,feature_category,aliases,feature_description,value_type,unit,showcase_image,images,videos,feature_id,standard_feature,engine_dependent,drivetrain_dependent,seating_dependent,transmission_dependent
,,,Center Console Storage,Interior,center storage; console box; front center storage; armrest storage,Storage compartments within the center console.,Boolean,,,,,,,,,,
,,,Central Locking System,Safety and Security,central locking; remote locking; one-touch lock/unlock; car locking system,Allows locking and unlocking of all doors simultaneously.,Boolean,,,,,,,,,,
,,,Charging Capability,Safety and Security,charging speed; AC/DC charging support; fast charging capability; max charging rate,"The vehicle's charging speed and capability (AC/DC, fast charging).",Category,,,,,,,,,,
,,,Charging Solution Type,Safety and Security,home charger; wallbox; portable charger solution,"The type of charging solution: home charger, wallbox, portable.",Category,,,,,,,,,,
,,,Child Safety Lock,Safety and Security,child lock; rear door child lock; child safety door lock,Prevents rear doors from being opened from inside by children.,Boolean,,,,,,,,,,
,,,Child Seat Anchorage Location,Interior,ISOFIX position; rear seat anchor location,The location of ISOFIX points for child seats.,Category,,,,,,,,,,
,,,Child Seat Anchorage System,Safety and Security,ISOFIX; child seat mounts; child seat anchors,ISOFIX or other child seat mounting systems.,Category,,,,,,,,,,
,,,Climate Control Air Distribution,Comfort and Convenience,vent distribution; air flow modes; face/feet/defrost settings,"Air distribution modes: face, feet, defrost, etc.",Category,,,,,,,,,,
,,,Climate Control Interface Type,Comfort and Convenience,AC control panel; climate interface; touch/knob AC controls; HVAC UI,"The control interface for climate settings: touch, knobs, or automatic controls.",Category,,,,,,,,,,
,,,Climate Control System Type,Comfort and Convenience,AC type; climate control type; manual/auto AC; single/dual-zone climate,"The type of climate control: manual, single-zone, or multi-zone automatic.",Category,,,,,,,,,,
,,,Connected Car Platform,Advanced Telematics Solution Safety & Security,connected car suite; telematics platform; connected services; car app platform,The telematics and connected services platform used.,Category,,,,,,,,,,
,,,Connected Vehicle Navigation Feature,Advanced Telematics Solution Safety & Security,app-based navigation; send-to-car navigation; online maps,Navigation features accessible via app like send-to-car.,Boolean,,,,,,,,,,
,,,Connected Vehicle Safety Feature,Advanced Telematics Solution Safety & Security,e-call/b-call; stolen vehicle tracking; remote immobilization; SOS safety features,"Features like e-call, vehicle tracking, or remote immobilization.",Category,,,,,,,,,,
,,,Connected Vehicle Tracking Feature,Advanced Telematics Solution Safety & Security,live tracking; vehicle tracking; GPS tracking in app,Ability to track vehicle location in real-time via app.,Boolean,,,,,,,,,,
,,,Connectivity Feature,Infotainment System,Wiâ€‘Fi hotspot; connected apps; internet connectivity,Features like Wiâ€‘Fi hotspot and connected apps.,Category,,,,,,,,,,
,,,Cornering Control System,Safety and Security,cornering stability control; cornering assist; torque vectoring (if present); stability in turns,A system that manages vehicle stability and traction during cornering.,Boolean,,,,,,,,,,
,,,Crash Compliance Certification,Safety and Security,crash rating; safety rating; NCAP compliance; crash test certification,Safety rating and compliance with crash test standards.,Category,,,,,,,,,,
,,,Crash Safety Compliance,Safety and Security,crash-compliant; meets crash norms; crash regulation compliant,Confirmation that the vehicle meets crash safety regulations.,Boolean,,,,,,,,,,
,,,Cruise Control Feature,Comfort and Convenience,cruise control; speed hold; adaptive cruise (if present); highway cruise function,Maintains a preset speed on highways with adaptive or standard control.,Category,,,,,,,,,,
,,,Cup and Bottle Holder Type,Interior,cup/bottle holder style; holder design; fixed/foldable holders; size of holders,The design and capacity of cup and bottle holders.,Category,,,,,,,,,,
,,,Cup Holder Cooling Feature,Comfort and Convenience,cooled cup holder; chiller cup holder; temperature-controlled cup holder; cooled console,A cooled or temperature-controlled cup holder for beverages.,Boolean,,,,,,,,,,
,,,Cup Holder Location,Interior,cup holder placement; cup holder positions; front/rear cup holders; console cup holders,The placement of cup holders throughout the vehicle.,Category,,,,,,,,,,
,,,Dashboard Color Theme,Interior,dashboard color; dash theme; dual-tone dash; dashboard color combination,"The color scheme of the dashboard: dual-tone, single-color, etc.",Category,,,,,,,,,,
,,,Dashboard Display View,Infotainment System,cluster view style; display themes; driver display view; instrument view modes,The different view modes and themes for the driver display.,Category,,,,,,,,,,
,,,Daytime Running Lamp Feature,Exterior,DRL; daytime running lights; LED DRLs; signature DRL,LED daytime running lights for enhanced visibility and styling.,Boolean,,,,,,,,,,
,,,Door Audio Component,Infotainment System,door speakers; door tweeters; audio units in door; sound components in door,Audio speakers and components installed within the doors.,Boolean,,,,,,,,,,
,,,Door Exterior Trim,Exterior,outer door trim; door cladding; door garnish; door outer molding,The exterior cladding and trim of the doors.,Category,,,,,,,,,,
,,,Door Interior Component,Interior,door pockets and controls; inside handle/buttons; door panel components,"Interior components like handles, switches, and storage pockets.",Category,,,,,,,,,,
,,,Door Interior Trim,Interior,inner door trim; interior door panel; door pad design; door lining,The interior trim and finish of the door panels.,Category,,,,,,,,,,
,,,Door Locking Function,Safety and Security,door lock function; auto lock/unlock; speed-sensing lock; impact unlock,Features like auto-lock when moving or speed-sensing locking.,Boolean,,,,,,,,,,
,,,Door Safety Feature,Safety and Security,door safety; impact-sensing unlock; child locks; anti-intrusion beams (door side),Safety mechanisms like anti-intrusion beams or impact sensors.,Boolean,,,,,,,,,,
,,,Door Speaker Count,Infotainment System,speakers in doors; number of door speakers; front/rear door speakers count,The number of speakers installed in the doors.,Number,,,,,,,,,,
,,,Door Trim Armrest Upholstery,Interior,door armrest material; padded door armrest,The upholstery material of door armrests.,Category,,,,,,,,,,
,,,Door Trim Finish,Interior,door trim finish; gloss/matte finish; fabric/leather insert,The material and finish of door trim panels.,Category,,,,,,,,,,
,,,Door Warning Feature,Alerts and Notifications,door ajar warning; open door alert; door open chime; door indicator,Warning when doors are open or ajar.,Boolean,,,,,,,,,,
,,,Drive Mode Display Feature,Infotainment System,drive mode indication; mode display on cluster; Eco/Sport indicator,Display of the currently selected drive mode on the cluster.,Boolean,,,,,,,,,,
,,,Drive Mode Selection Interface,Infotainment System,drive mode switch; mode selector; rotary knob/button for modes,"The interface for selecting drive modes (button, dial, etc.).",Category,,,,,,,,,,
,,,Drive Mode Theming,Infotainment System,themed displays; drive mode theme; color/theme change with mode,Visual theming that changes based on selected drive mode.,Category,,,,,,,,,,
,,,Drive Mode Type,Trips and Driving Behaviour,Eco/Normal/Sport; drive modes; terrain modes; performance modes,"Available drive modes: Eco, Normal, Sport, terrain modes, etc.",Category,,,,,,,,,,
,,,Driver Foot Support Feature,Comfort and Convenience,dead pedal; footrest; driver foot support; left foot support,A footrest or dead pedal for driver comfort.,Boolean,,,,,,,,,,
,,,Driver Seat Adjustment Feature,Comfort and Convenience,driver seat functions; seat height/tilt/slide features; powered manual seat features,Specific adjustment features available for the driver's seat.,Category,,,,,,,,,,
,,,Driver Seat Adjustment Type,Comfort and Convenience,driver seat adjustment; driver seat controls; power/manual seat; seat adjustment mode,Specifies whether the driver's seat adjustment is manual or power-operated (electric).,Category,,,,,,,,,,
,,,Driver Seat Memory Function,Comfort and Convenience,seat memory; driver memory seats; memory function; saved seat positions,Allows the driver's seat to automatically adjust to saved positions.,Boolean,,,,,,,,,,
,,,Driver Seating Position Feature,Comfort and Convenience,seat height/hip point; high/low seating; commanding seating position,The height and positioning of the driver's seat.,Number,,,,,,,,,,
,,,Drivetrain Range Feature,Trips and Driving Behaviour,remaining range; estimated range; EV range,Display of estimated driving range on current battery/fuel.,Number,,,,,,,,,,
,,,Driving Behaviour Analytics,Trips and Driving Behaviour,driving analytics; eco/safety scoring; behavior tracking; driver analysis,Analysis and feedback on driving behavior and efficiency.,Boolean,,,,,,,,,,
,,,Driving Performance Score,Trips and Driving Behaviour,driving score; eco score; safety score; performance rating,A scoring system for driving performance and safety.,Boolean,,,,,,,,,,
,,,Emergency Breakdown Notification System,Alerts and Notifications,breakdown alert; SOS breakdown; roadside assistance alert; emergency call on breakdown,Automatic alert sent to roadside assistance upon breakdown detection.,Boolean,,,,,,,,,,
,,,Engine Idle Air Conditioning Feature,Comfort and Convenience,AC at idle; AC during stop; idle AC function; cooling in traffic/idle,Allows AC to remain active when the engine is stopped or idling.,Boolean,,,,,,,,,,
,,,Engine Start Stop System,Safety and Security,auto start-stop; idling stop; engine stop in traffic,An automatic system that stops and restarts the engine at idle.,Boolean,,,,,,,,,,
,,,Exterior Beltline Trim,Exterior,beltline garnish; window line chrome/black; waistline trim; side window trim,The trim and garnish applied to the side window beltline.,Category,,,,,,,,,,
,,,Exterior Body Color Elements,Exterior,body-colored parts; color-keyed elements; painted cladding; contrast/black body elements,Body-colored or contrast elements in the exterior design.,Category,,,,,,,,,,
,,,Exterior Body Protection Feature,Exterior,body cladding; door protectors; side molding; scratch protection,"Protective elements like side molding, skid plates, or door protectors.",Boolean,,,,,,,,,,
,,,Exterior Bumper Material,Exterior,bumper material; plastic/metal bumper,"The material of bumpers: plastic, metal, or composite.",Category,,,,,,,,,,
,,,Exterior Center Garnish Color,Exterior,center garnish color; rear garnish color; applique color; center trim color,The color of the center garnish or trim elements.,Category,,,,,,,,,,
,,,Exterior Chrome Accents,Exterior,chrome highlights; chrome garnish; chrome detailing; chrome styling,Chrome detailing and garnish on the exterior.,Boolean,,,,,,,,,,
,,,Exterior Color Theme,Exterior,body color theme; dual-tone roof/body; exterior color scheme,"The overall exterior color scheme: solid, dual-tone, contrasting elements.",Category,,,,,,,,,,
,,,Exterior Design Stance,Exterior,stance design; SUV stance; sporty stance; wide/low look,The overall stance and appearance of the vehicle exterior.,Category,,,,,,,,,,
,,,Exterior Door Handle Finish,Exterior,door handle finish; body-colored handles; chrome handles; black handles,"The finish of the door handles: body-colored, chrome, or black.",Category,,,,,,,,,,
,,,Exterior Door Handle Type,Exterior,pull-type/flush handle; request sensor handle; fixed/flush design,"The type of door handle: mechanical pull, flush, or touch-sensor.",Category,,,,,,,,,,
,,,Exterior Lighting Integration,Exterior,integrated DRLs; signature lighting; unified light bar; lamp integration,Coordinated exterior lighting design with signature DRLs and tail lights.,Category,,,,,,,,,,
,,,Exterior Pillar Finish,Exterior,pillar finish; blacked-out pillars; body-colored pillars; gloss/matte pillar design,"The finish of the A/B/C pillars (body-colored, blacked-out, etc.).",Category,,,,,,,,,,
,,,Exterior Roof Feature,Exterior,roof rails; roof design highlights; roof spoiler/antenna; roof styling elements,Design elements and features of the exterior roof.,Category,,,,,,,,,,
,,,Exterior Spoiler Type,Exterior,rear spoiler; roof spoiler; boot spoiler; spoiler design,"The type of spoiler: roof, boot, or diffuser-mounted.",Category,,,,,,,,,,
,,,Exterior Temperature Display,Infotainment System,outside temp display; ambient temperature readout,Display of outside air temperature on the dashboard.,Boolean,,,,,,,,,,
,,,Exterior Trim Finish,Exterior,exterior garnish finish; trim finish; exterior detailing finish; chrome/black finish,"The finish of exterior garnish and trim (chrome, black, etc.).",Category,,,,,,,,,,
,,,Exterior Underbody Protection,Exterior,skid plate; underbody guard; underbody protection panel,Protective panels and skid plates for the underbody.,Boolean,,,,,,,,,,
,,,Fog Lamp Garnish Finish,Exterior,fog lamp bezel finish; fog surround; fog housing trim,The finish of the fog lamp bezel and surround.,Category,,,,,,,,,,
,,,Fog Lamp Ornament,Exterior,fog lamp decorative bezel; fog trim; fog ornament styling,Decorative bezel or trim around the fog lamps.,Boolean,,,,,,,,,,
,,,Fog Lamp Type,Exterior,fog light type; foglamp style; LED/halogen fog lights; front fog specification,"The type of fog lamps: LED, halogen, or other.",Category,,,,,,,,,,
,,,Footwell Illumination Feature,Interior,footwell lights; under-dash lighting; foot area illumination,Lighting in the footwell area for entry and exit convenience.,Boolean,,,,,,,,,,
,,,Front Armrest Type,Interior,front armrest; fixed/folding armrest; sliding armrest; storage armrest,"The type of front armrest: fixed, folding, or storage.",Category,,,,,,,,,,
,,,Front Center Armrest Upholstery,Interior,armrest material; padded armrest; fabric/leather on armrest,The upholstery material of the front center armrest.,Category,,,,,,,,,,
,,,Front Console Storage,Interior,front console cubby; open storage in console; console tray,Open or closed storage compartments in the front console.,Boolean,,,,,,,,,,
,,,Front Door Storage Type,Interior,front door pockets; front door storage; door bin type; door map pocket,The design and type of storage compartments in the front doors.,Category,,,,,,,,,,
,,,Front Exterior Design Theme,Exterior,front styling theme; face design; front fascia theme,The overall design theme of the front exterior.,Category,,,,,,,,,,
,,,Front Grille Design,Exterior,grille design; front grille style; grille pattern; signature grille,The design and style of the front grille.,Category,,,,,,,,,,
,,,Front Row Storage Feature,Interior,front storage; front cabin storage; front console storage; front small-item storage,Storage compartments and cubbies available in the front section.,Boolean,,,,,,,,,,
,,,Front Seat Recline Feature,Comfort and Convenience,front seat recline; backrest adjustment (front),The ability to recline front seat backrests.,Boolean,,,,,,,,,,
,,,Fuel and Range Warning,Alerts and Notifications,low range warning; fuel + range alert,Combined warning for low fuel/battery and remaining range.,Category,,,,,,,,,,
,,,Fuel Changeover Control,Safety and Security,fuel switch; petrol/CNG switch; fuel mode selector,A switch to change between different fuel types (petrol/CNG).,Boolean,,,,,,,,,,
,,,Fuel Consumption Display,Infotainment System,mileage readout; FE display; instant/avg mileage display,Display of fuel consumption: instant mileage or average.,Category,,,,,,,,,,
,,,Fuel Efficiency Display Type,Infotainment System,mileage display style; FE display; km/l display type; fuel economy readout format,"How fuel efficiency is displayed: instant mileage, average, trip data.",Category,,,,,,,,,,
,,,Fuel Type Dedicated Gauge,Infotainment System,fuel type gauge; separate fuel gauge; dedicated CNG/EV gauge; secondary fuel indicator,"A dedicated gauge or indicator for alternate fuel (CNG, LPG, etc.).",Boolean,,,,,,,,,,
,,,Fuel Warning Feature,Alerts and Notifications,low fuel warning; fuel reserve alert; range low alert,A warning when fuel level is critically low.,Boolean,,,,,,,,,,
,,,Gear Indicator Type,Infotainment System,gear indicator style; PRND display; manual/automatic gear indication,How the current gear is indicated on the display.,Category,,,,,,,,,,
,,,Gear Shift Knob Finish,Interior,gear knob finish; gear lever trim; knob material/finish,The material and finish of the gear shift knob.,Category,,,,,,,,,,
,,,Glove Box Cooling Feature,Comfort and Convenience,cooled glove box; glove box chiller; AC vent in glove box; cold storage glove box,A cooled glove box for storing temperature-sensitive items.,Boolean,,,,,,,,,,
,,,Glove Box Lighting Feature,Interior,glove box light; illuminated glove box,Illumination inside the glove box for visibility.,Boolean,,,,,,,,,,
,,,Hazard Light Control,Comfort and Convenience,hazard button; emergency flasher switch,Controls for activating hazard warning lights.,Boolean,,,,,,,,,,
,,,Head-Up Display Availability,Infotainment System,HUD; head-up display; windshield display; projector display on glass,A projected display on the windshield showing driving information.,Boolean,,,,,,,,,,
,,,Headlamp Adjustment Feature,Comfort and Convenience,headlamp leveling; beam height adjustment; manual/auto leveling,Beam height adjustment: manual or automatic leveling.,Category,,,,,,,,,,
,,,Headlamp Automation Feature,Comfort and Convenience,auto headlamps; automatic headlights; light sensor; auto on/off lights,Automatic headlight control based on ambient light conditions.,Category,,,,,,,,,,
,,,Headlamp Beam Type,Exterior,projector/reflector; LED/halogen beam; low/high beam type,"The type of headlamp beam: projector, reflector, LED, etc.",Category,,,,,,,,,,
,,,Headlamp Cleaning Feature,Comfort and Convenience,headlamp washer; headlight cleaning jets; lamp wash system,Automated headlamp cleaning system with spray jets.,Boolean,,,,,,,,,,
,,,Headlamp Control Feature,Comfort and Convenience,headlight controls; manual/auto control; stalk controls for lights,Manual or automatic control of headlights.,Category,,,,,,,,,,
,,,Headlamp Reminder Type,Alerts and Notifications,headlight reminder; lights-on warning; lamp reminder chime; headlamp alert,A reminder or warning when headlights are left on.,Category,,,,,,,,,,
,,,Hill Descent Control Feature,Safety and Security,hill descent control; downhill assist; HDC,An automatic system to control descent on steep slopes.,Boolean,,,,,,,,,,
,,,Hill Hold Assist Feature,Safety and Security,hill hold; hill start assist; HSA,Assists in starting on uphill slopes without rolling backward.,Boolean,,,,,,,,,,
,,,Horn Activation Feature,Comfort and Convenience,horn control; double-horn activation; steering/hub horn switch,The method to activate the horn: steering hub button or lever.,Boolean,,,,,,,,,,
,,,Horn Type,Exterior,horn tone; dual/single horn; horn sound type; horn specification,The tone and quality of the vehicle horn.,Category,,,,,,,,,,
,,,Infotainment Connectivity,Infotainment System,connectivity options; system connectivity; online/offline connectivity; device connection support,The connectivity options and protocols supported by the system.,Category,,,,,,,,,,
,,,Infotainment Connectivity Type,Infotainment System,connectivity options; Bluetooth/USB/Wiâ€‘Fi type; wired/wireless CarPlay; device connection type,"The types of device connections supported (Bluetooth, USB, Wiâ€‘Fi).",Category,,,,,,,,,,
,,,Infotainment Smartphone Connectivity,Infotainment System,phone projection; Android Auto/CarPlay; smartphone mirroring; mobile connectivity,Phone projection and mirroring capabilities like Android Auto/Apple CarPlay.,Category,,,,,,,,,,
,,,Infotainment System Name,Infotainment System,infotainment name; head-unit name; media system name; system brand,The brand or model name of the infotainment/head-unit system installed.,Text,,,,,,,,,,
,,,Infotainment System Smartphone Connectivity,Infotainment System,phone connectivity; smartphone integration; Android Auto / Apple CarPlay; mobile mirroring,Support for smartphone integration like Android Auto or Apple CarPlay.,Category,,,,,,,,,,
,,,Instrument Cluster Accent Lighting,Interior,cluster ambient lighting; ring lighting; backlit accents,Ambient or accent lighting around the instrument cluster.,Boolean,,,,,,,,,,
,,,Instrument Cluster Display Mode,Infotainment System,display modes; cluster themes; classic/sport mode; dial styles,"Various display modes: classic, sport, or eco.",Category,,,,,,,,,,
,,,Instrument Cluster Display Size,Infotainment System,cluster screen size; instrument display size; driver display size; speedometer screen size,The size of the instrument cluster display screen measured in inches.,Number,,,,,,,,,,
,,,Instrument Cluster Display Type,Infotainment System,cluster display type; instrument panel type; driver display type; digital/analog cluster,"Indicates whether the instrument cluster is analog, digital, or hybrid.",Category,,,,,,,,,,
,,,Instrument Cluster Feature,Infotainment System,cluster features; driver display features; digital cluster functions,Features and data displayed on the instrument cluster.,Category,,,,,,,,,,
,,,Instrument Cluster Finish,Interior,cluster bezel finish; trim around cluster; finish of driver display,The finish and color of the instrument cluster bezel.,Category,,,,,,,,,,
,,,Instrument Cluster Theme,Infotainment System,cluster theme; theme selection; classic/sport/eco view,Selectable themes for the instrument cluster display.,Category,,,,,,,,,,
,,,Instrument Panel Ornament,Interior,decorative panel; dashboard inlay; dash applique,Decorative inlays or appliques on the instrument panel.,Boolean,,,,,,,,,,
,,,Instrument Panel Ornament Finish,Interior,inlay finish; dash applique finish; trim finish on panel,The finish of decorative ornaments on the dashboard.,Category,,,,,,,,,,
,,,Instrument Panel Storage Illumination,Interior,lit storage; illuminated dash cubby,Illumination of storage compartments in the instrument panel.,Boolean,,,,,,,,,,
,,,Interior Assist Grip Location,Interior,grab handle location; assist handles; roof handles; passenger grab grips,The placement of grab handles and assist grips inside the cabin.,Category,,,,,,,,,,
,,,Interior Chrome Accents,Interior,interior chrome highlights; chrome inserts; chrome trim inside; shiny interior accents,Chrome trim and accents in the cabin.,Boolean,,,,,,,,,,
,,,Interior Color Theme,Interior,cabin color theme; interior color scheme; dual-tone interior; interior color combo,The overall color scheme of the cabin (single or dual-tone).,Category,,,,,,,,,,
,,,Interior Floor Covering,Interior,carpet type; floor mats; rubber/vinyl flooring,"The type of interior flooring: carpet, rubber, or vinyl.",Category,,,,,,,,,,
,,,Interior Illumination Color,Interior,interior light color; warm/white/blue tone,"The color tone of interior lighting: warm, white, or blue.",Category,,,,,,,,,,
,,,Interior Lighting Location,Interior,lighting positions; roof/footwell lights; door/puddle lights; interior light placements,The placement of interior lights throughout the cabin.,Category,,,,,,,,,,
,,,Interior Lighting Positions,Interior,light positions; front/rear lamps; roof/door/footwell light spots,The specific positions and zones of interior lighting.,Category,,,,,,,,,,
,,,Interior Lighting Power Management,Interior,interior light auto-off; power-saving lighting; follow-me-home interior; timed cabin lights,Automatic power management of interior lights for efficiency.,Category,,,,,,,,,,
,,,Interior Lighting Type,Interior,cabin lighting type; LED/halogen interior lights; ambient/dome lights type,"The type of interior lighting: LED, halogen, or other.",Category,,,,,,,,,,
,,,Interior Rear View Mirror Type,Interior,IRVM type; rearview mirror type; auto-dimming mirror; manual day/night mirror,"The type of rearview mirror: manual, auto-dimming, or electronically adjustable.",Category,,,,,,,,,,
