created,updated,dealership_id,region_id,region_name,dealer_name,supported_brands,showroom_name,showroom_type,contact_number,email,address,city,state,pincode,geolocation,days_open,operating_hours,showroom_status,showroom_full_name,showroom_level_guidelines,showroom_level_guardrails,region_level_guidelines,region_level_guardrails,region_subdivision_id,subdivision_name,languages,supported_brands_guidelines,subdivision_level_guidelines,subdivision_level_guardrails,manager_name,manager_contact,total_sales_executives,daily_walkin_capacity,facilities_available,parking_capacity,display_vehicle_count,google_reviews_rating,google_reviews,google_my_business_listing,showroom_reviews,showroom_photos,showroom_rating,showroom_id
,,,,India,Stellantis,Citroen,Ananta Motors Private limited,Main Showroom,,,"Khasra number 328, 330, 331, Bawadiya kala, Near Sri Ram colony, Hoshangabad Road, Bhopal, Bhopal - 462026",Bhopal,Madhya Pradesh,462026,"23.170423, 77.462168","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:10",Active,,,,,,,Madhya Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,R N CAR CAFE PRIVATE LIMITED,Main Showroom,,,"142, Chanderbani Chowk, Subhash Nagar Main Saharanpur Road, Dehradun, Dehradun - 248001",Dehradun,Uttarakhand,248001,"30.2785641091281, 77.9905750975602","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:11",Active,,,,,,,Uttarakhand,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,B4S Motors Pvt Ltd,Main Showroom,,,"Survey No. 21/4, Hadapsar Bypass Road, Karadi, Pune - 411014",Pune,Maharashtra,411014,"18.541619565, 73.9346221","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:12",Active,,,,,,,Maharashtra,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,GAUTAMBUDH AUTOMOTIVES PRIVATE LIMITED,Main Showroom,,,"B 127, Sector 5, Opp Noida Authority, Noida, Uttar Pradesh -201301",Noida,Uttar Pradesh,201301,"28.537754, 77.41179","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:13",Active,,,,,,,Uttar Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Autoniche Motors Private Limited,Main Showroom,,,"GF- 3, Corner Height's, Ground Floor, Near Delhi Public School, Kalali Road, Vadodara, Gujarat",Vadodara,Gujarat,390012,"22.2546338210374, 73.18181315","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:14",Active,,,,,,,Gujarat,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Abide Cars India private limited,Main Showroom,,,"Plot No 600, Guldhar, Main Meerut Road, Ghaziabad -201003",Ghaziabad,Uttar Pradesh,201003,"28.705348, 77.451427","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:15",Active,,,,,,,Uttar Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,EVM Autokraft India Private Limited,Main Showroom,,,"TC No;91/1042(2), NH By Pass, PO, near Karikkakom Temple Karikkakom, Thiruvananthapuram, Kerala - 695021",Trivandrum,Kerala,695021,"8.50640041432889, 76.9077170914844","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:16",Active,,,,,,,Kerala,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,TENACITY AUTO SOLUTION PRIVATE LIMITED,Main Showroom,,,"A2/4 Africa Avenue , safdarjung Enclave, New Delhi – 110029",Delhi,Delhi,110029,"28.5681569563157, 77.18986036171","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:17",Active,,,,,,,Delhi,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Sarvesh Motor Vehicles Private Limited,Main Showroom,,,"No. 296 – 3/2 Indira Nagar, Chennai-Bangalore Highway, Perumugai, Vellore - 632009",Vellore,Tamil Nadu,632009,"12.9442409101727, 79.1970906983208","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:18",Active,,,,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Tristar Wheels Private Limited,Main Showroom,,,"Rajaram Road, Takala, Kolhapur - 416001",Kolhapur,Maharashtra,416001,"16.7001709537221, 74.2488059529587","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:19",Active,,,,,,,Maharashtra,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,SARVESH MOTOR VEHICLES PRIVATE LIMITED,Main Showroom,,,"No. 28/2A, Pondy-Cuddalore Road (Opp to Boat House), AriyankuppamCommune Panjayathu, Nonankuppum, Pondycherry - 605007",Pondicherry,Pondicherry,605007,"11.886208, 79.800138","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:20",Active,,,,,,,Pondicherry,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,BJR AUTOMOTIVES PRIVATE LIMITED,Main Showroom,,,"8-5-1/b/3, Sy No.608, Beside HP Petrol Pump, Ramagundem Bypass Road, Karimnagar - 505001, Telangana.",Karimnagar,Telangana,505001,"18.4223850302728, 79.149506344204","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:21",Active,,,,,,,Telangana,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,AKIRA AUTOMOBILIA PRIVATE LIMITED,Main Showroom,,,"No 62-4, Beratene, Agrahara Village, Hosur Road, Electronic City, Bangalore 560110.",Bengaluru,Karnataka,560110,"12.863267969088412, 77.65927780115723","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:22",Active,,,,,,,Karnataka,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,H & H MOTOCORP LLP,Main Showroom,,,"Door No. 67/2, Survey No. 16/1B Trivandram Road, KeelaVeeraRaghavapuram (Near New Bus stand, Opp to INS), Tirunelveli - 627007, Tirunelveli District, Tamil Nadu.",Tirunelveli,Tamil Nadu,627007,"8.693080792414218, 77.72560166915807","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:23",Active,,,,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Landmark Lifestyle Cars Private Limited,Main Showroom,,,"Plot No. 30, Sector 1, Mumbai- Pune Express Highway, Nerul, Navi Mumbai – 400706.",Navi Mumbai,Maharashtra,400706,"19.050408, 73.0209116","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:24",Active,,,,,,,Maharashtra,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Shobha Automobiles Private Limited,Main Showroom,,,"Delhi Rewari Road, Next to RC hotel, Near Uttam Nagar, Rewari, Haryana - 123401",Rewari,Haryana,123401,"28.2005129, 76.6431855","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:25",Active,,,,,,,Haryana,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,MAGNUS MOTORS PRIVATE LIMITED,Main Showroom,,,"Ground Floor, Sun Embark, next to Sola Flyover, Ahmedabad, Gujarat - 380060",Ahmedabad,Gujarat,380060,"23.0732996171039, 72.5238689765672","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:26",Active,,,,,,,Gujarat,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,KHT AGENCIES PRIVATE LIMITED,Main Showroom,,,"Old No.15A, New No.44, Industrial Suburb Service Road, Leading to Tumkur Road, RMC Yard Post, Opposite to shell petrol bunk, Yeshwantpur, Bangalore-560022.",Bengaluru,Karnataka,560022,"13.02461332, 77.54663163","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:27",Active,,,,,,,Karnataka,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,VTK Automobiles Private limited,Main Showroom,,,"Old No.179, New No. 8, Kodambakkam High Road, Nungambakkam, Chennai - 600034.",Chennai,Tamil Nadu,600034,"13.0534861613567, 80.2488121104782","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:28",Active,,,,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Celica Automotive Private Limited,Main Showroom,,,"24/1, Park Street, Kolkata - 700016",Kolkata,West Bengal,700016,"22.5513612019061, 88.3537924648037","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:29",Active,,,,,,,West Bengal,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Sree Krishna Automotives Hyderabad,Main Showroom,,,"Plot No: 240, Metro Pillar No C1625, Road No. 36, Opp. Krishna Jewellery, Jawahar Colony, Jubilee Hills, Hyderabad, Telangana 500081.",Hyderabad,Telangana,500081,"17.4297997117345, 78.4127519315037","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:30",Active,,,,,,,Telangana,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Nanavati Eurocars pvt ltd,Main Showroom,,,"Ground floor, Iscon Mall, Dumas Rd, Piplod, Surat - 395007",Surat,Gujarat,395007,"21.1616461951131, 72.7740587353608","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:31",Active,,,,,,,Gujarat,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,SGA PREMIUM CARS INDIA PRIVATE LIMITED,Main Showroom,,,"No.1151-A, Mettupalayam Road, Opp. Ganga Hospital, Coimbatore - 641 043.",Coimbatore,Tamil Nadu,641043,"11.025532358310903, 76.95117998097217","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:32",Active,,,,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,PRATAP VOITURES PRIVATE LIMITED,Main Showroom,,,"PG Tower, Khasra No. 454, Graam: Rampura Rupa, Opp. Glass Factory, Main Tonk Road, Jaipur - 302018",Jaipur,Rajasthan,302018,"26.870635, 75.796954","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:33",Active,,,,,,,Rajasthan,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Sree Krishna Automotives Hyderabad,Main Showroom,,,"Survey No.66, Saroor Nagar Mandal, Plot No 34, Beside Jeep Showroom, 35 & 36, Mansoorabad Rd, L. B. Nagar, Hyderabad, Telangana 500035",Hyderabad,Telangana,500035,"17.3574274620908, 78.5568070926099","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:34",Active,,,,,,,Telangana,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,VTK Automobiles Private limited,Main Showroom,,,"#310, Rajiv Gandhi Salai (Old OMR), Sholinganallur, Chennai, Tamil Nadu - 600119",Chennai,Tamil Nadu,600119,"12.9047098, 80.226909","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:35",Active,,,,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,M/s SATGURU ENGITECH PRIVATE LIMITED,Main Showroom,,,"7/5, Lasudia Mori, Dewas Naka, Near Lasudia Police Station, Indore(M.P.)-452010",Indore,Madhya Pradesh,452010,"22.7861779445198, 75.9057382846574","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:36",Active,,,,,,,Madhya Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Tapan Industries,Main Showroom,,,"LATE SH. MURARI LAL GOYAL COMPLEX -1, BAROG BYE PASS,SHAMLAICH, Solan, Himachal Pradesh - 173211",Solan,Himachal Pradesh,173211,"30.8884400048494, 77.0884211539753","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:37",Active,,,,,,,Himachal Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Tapan Industries,Main Showroom,,,"Khasra Number 519/1, V&P.O. Gutkar, Tehsil Balh, Mandi, Himachal Pradesh - 175021",Mandi,Himachal Pradesh,175021,"31.6532964555184, 76.9458332999999","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:38",Active,,,,,,,Himachal Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Kumar Auto Agencies Private Limited,Main Showroom,,,"Sy. No. 24/2, Rayapur Industrial Area, P.B. Road Hubbali - 580025",Hubballi,Karnataka,580025,"15.408283, 75.062686","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:39",Active,,,,,,,Karnataka,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Bhalotia Motors private limited,Main Showroom,,,"7th Phase, Adityapur Industrial Area, Gamharia, Jamshedpur - 832 109",Jamshedpur,Jharkhand,832109,"22.795267, 86.135169","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:40",Active,,,,,,,Jharkhand,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Harmeet Nextgen Private Limited,Main Showroom,,,"G-9A, automobile zone, Indraprastha Industrial Area, Kota, Rajasthan - 324005",Kota,Rajasthan,324005,"25.1343345160466, 75.8657051448317","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:41",Active,,,,,,,Rajasthan,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Royal Vehicles Private Limited,Main Showroom,,,"Shivpuri Link Road,Near Kia Showroom, Gwalior, Gwalior, Madhya Pradesh - 474001",Gwalior,Madhya Pradesh,474001,"26.1623694, 78.1644225","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:42",Active,,,,,,,Madhya Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,R & K AUTOCORP PRIVATE LIMITED,Main Showroom,,,"411, Mahanadda, Madan Mahal Nagpur Road, Jabalpur-482001",Jabalpur,Madhya Pradesh,482001,"23.160376972449, 79.9282712423293","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:43",Active,,,,,,,Madhya Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,ARASPVPV MOTORI PRIVATE LIMITED,Main Showroom,,,"35/1, Samayanallur Main Rd, Vilangudi, Madurai 625018, Tamil Nadu",Madurai,Tamil Nadu,625018,"9.95133117654211, 78.0938288179912","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:44",Active,,,,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,IKCK MOTORS PRIVATE LIMITED,Main Showroom,,,"Arazi No. 21, Village Karnadasdi, Pargana Kaswar Sarkari, Tehsil Rajatalab, Varanasi",Varanasi,Uttar Pradesh,221302,"25.2756724609422, 82.8879613958622","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:45",Active,,,,,,,Uttar Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,BANERJEE MOTORS PRIVATE LIMITED,Main Showroom,,,"NH-2, GT Road, DVC More, Near Calcutta Girls High School, Asansol - 713370. Paschim Bardhman, West Bengal.",Asansol,West Bengal,713370,"23.6720634441366, 87.0230058110503","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:46",Active,,,,,,,West Bengal,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,ARUN BANSAL AUTOMOBILES PRIVATE LIMITED,Main Showroom,,,"Vedant Vedika Automobiles Private Limited, Bansal Ford, NH-75, Panna Road, Satna (M.P) - 485001",Satna,Madhya Pradesh,485001,"24.5108215773394, 80.8316144976899","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:47",Active,,,,,,,Madhya Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,TANISHQ AUTO PRIVATE LIMITED,Main Showroom,,,"Plot No.1, Sector No. 90(pt), N-2 Cidco, Mukundwadi, Sambhaji Nagar - 431006",Sambhaji Nagar,Maharashtra,431006,"19.8722303500425, 75.3751830936873","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:48",Active,,,,,,,Maharashtra,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,KARAN ASHOK MOTORS PVT LTD,Main Showroom,,,"Haripur Tularam Village, Gorapadao Bareely road, Haldwani Distt, Nainital, Uttarakhand – 263139",Haldwani,Uttarakhand,263139,"29.16548643, 79.52108598","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:49",Active,,,,,,,Uttarakhand,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,EVM AUTOKRAFT INDIA PRIVATE LIMITED,Main Showroom,,,"17/523 A, NH 544, Near Pazhamballam Road, Puthoor Panchayat, Marathakkara Village, Kuttanallur Taluk, Trissur District - 680306",Thrissur,Kerala,680306,"10.4798781482948, 76.2583016441816","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:50",Active,,,,,,,Kerala,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Sree Krishna Automotives Hyderabad,Main Showroom,,,"Sy 2, No 110, 23, 6-114, Hunter Rd, Hanamkonda, Telangana 506002",Warangal,Telangana,506002,"17.9838075822805, 79.5758779728176","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:51",Active,,,,,,,Telangana,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,K P AUTOMOBILES PRIVATE LIMITED,Main Showroom,,,"K.P. Building, H.B. Road, Kokar, Near Kokar SBI Bank, Ranchi Jharkhand – 834 001",Ranchi,Jharkhand,834001,"23.37626, 85.35412","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:52",Active,,,,,,,Jharkhand,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,AAKRITI WORLD PRIVATE LIMITED,Main Showroom,,,"Jal- Phagwara road, opposite Toyota-Honda showroom,Paragpur -144005 (Jalandhar G.T. Road, Paragpur Adjoining Raga Motors)",Jalandhar,Punjab,144005,"31.29467, 75.65416","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:53",Active,,,,,,,Punjab,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,THE TRUE SAI MOTORSS,Main Showroom,,,"Omalur Main Road, Near Hotel Grand Estancia, Narasodhipatti, Salem 636004.",Salem,Tamil Nadu,636004,"11.6844121541999, 78.1241177657814","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:54",Active,,,,,,,Tamil Nadu,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,WSL AUTOMOBILES PRIVATE LIMITED,Main Showroom,,,"Plot No. D-144, Industrial Area Phase-7, Mohali, Punjab -160 055",Mohali,Punjab,160055,"30.7169162987962, 76.701871338643","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:55",Active,,,,,,,Punjab,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,VAA Autogarages Private Limited,Main Showroom,,,"Near Amandeep Hospital, Jammu total measuring 1 Kanal 7-1/2 Marlas falling ni Khasra No. 398 min, Khata No. 397 min and khewat no. 15 min, National Highway, Greater Kailash chowk, Jammu J&K - 180011",Jammu,Jammu and Kashmir,180011,"32.680055, 74.893623","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:56",Active,,,,,,,Jammu and Kashmir,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Moharir Auto,Main Showroom,,,"Plot.No.07, S.No.1043/02/02, Trimbak Road, Nashik – 422005.",Nashik,Maharashtra,422005,"19.994955, 73.763935","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:57",Active,,,,,,,Maharashtra,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,LOTUS AUTOWORLD PRIVATE LIMITED,Main Showroom,,,"No.11/56, Renigunta Road, Tirupati – 517501.",Tirupati,Andra Pradesh,517501,"13.630437795859068, 79.4433643298045","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:58",Active,,,,,,,Andra Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,R N CAR CAFE PRIVATE LIMITED,Main Showroom,,,"RN Cars, PRD House, Partapur industrial estate, Meerut Delhi Road, Partapur, Meerut 250103, Uttar Pradesh",Meerut,Uttar Pradesh,250103,"28.928008623256787, 77.65611998823441","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:59",Active,,,,,,,Uttar Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,EVM AUTOKRAFT INDIA PRIVATE LIMITED,Main Showroom,,,"Nayathuparambil Building, Door No. XII-78D, Athirampuzha Panchayat, MC Road, Thellakom P.O, Kottayam, Kerala – 686630",Kottayam,Kerala,686630,"9.642069635980532, 76.54465925373587","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:60",Active,,,,,,,Kerala,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,NAMEIRAKPAM RONEL SINGH (M/S N.R.TRADERS),Main Showroom,,,"NH 102, Canchipur Opposite Manipur University, Imphal, PIN - 795003.",Imphal,Manipur,795003,"24.751987925540654, 93.93411268279522","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:61",Active,,,,,,,Manipur,,,,,,,,,,,,,,,,,,
